Date,ARI,ATL,BAL,BOS,CHC,CIN,CLE,COL,CWS,DET,HOU,KCA,LAA,LAD,MIA,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDN,SEA,SFN,STL,TBA,TEX,TOR,WAS
6/10/17,MIL,NYM,,DET,COL,,CWS,,,,LAA,,,CIN,,,,,BAL,,,MIA,KCA,TOR,MIN,PHI,OAK,,,TEX
6/11/17,MIL,NYM,,DET,COL,,CWS,,,,LAA,,,CIN,,,,,BAL,,,MIA,KCA,TOR,MIN,PHI,OAK,,,TEX
6/12/17,,,,PHI,,,,,BAL,,TEX,,NYY,,,,SEA,CHC,,,,COL,CIN,,,,,,,ATL
6/13/17,,,,PHI,,,LAD,,BAL,ARI,TEX,,NYY,,OAK,,SEA,CHC,,,,COL,CIN,,KCA,MIL,,,TBA,ATL
6/14/17,,,,,,,LAD,,BAL,ARI,TEX,,NYY,,OAK,,SEA,CHC,,,BOS,COL,CIN,,KCA,MIL,,,TBA,ATL
6/15/17,,,,,,,LAD,SFN,BAL,TBA,,,KCA,,,,SEA,WAS,,NYY,BOS,,,,,MIL,,,,
6/16/17,,MIA,STL,,,LAD,,SFN,,TBA,BOS,,KCA,,,SDN,CLE,WAS,,NYY,ARI,CHC,,,,,,SEA,CWS,
6/17/17,,MIA,STL,,,LAD,,SFN,,TBA,BOS,,KCA,,,SDN,CLE,WAS,,NYY,ARI,CHC,,,,,,SEA,CWS,
6/18/17,,MIA,STL,,,LAD,,SFN,,TBA,BOS,,KCA,,,SDN,CLE,WAS,,NYY,ARI,CHC,,,,,,SEA,CWS,
6/19/17,,SFN,CLE,,SDN,,,,,,,BOS,,NYM,WAS,PIT,,,,HOU,,,,DET,,,CIN,TOR,,
6/20/17,,SFN,CLE,,SDN,,,ARI,,,,BOS,,NYM,WAS,PIT,CWS,,LAA,HOU,STL,,,DET,,,CIN,TOR,,
6/21/17,,SFN,CLE,,SDN,,,ARI,,,,BOS,,NYM,WAS,PIT,CWS,,LAA,HOU,STL,,,DET,,,CIN,TOR,,
6/22/17,,SFN,CLE,,,,,ARI,,,,,,NYM,CHC,PIT,CWS,,LAA,HOU,STL,,,DET,,,,TOR,,
6/23/17,PHI,MIL,,LAA,,,MIN,,OAK,,,TOR,,COL,CHC,,,,TEX,,,,DET,HOU,NYM,PIT,BAL,,,CIN
6/24/17,PHI,MIL,,LAA,,,MIN,,OAK,,,TOR,,COL,CHC,,,,TEX,,,,DET,HOU,NYM,PIT,BAL,,,CIN
6/25/17,PHI,MIL,,LAA,,,MIN,,OAK,,,TOR,,COL,CHC,,,,TEX,,,,DET,HOU,NYM,PIT,BAL,,,CIN
6/26/17,PHI,,,MIN,,,TEX,,NYY,,,,,LAA,,,,,,,,,,,COL,,,,,CHC
6/27/17,STL,,,MIN,,MIL,TEX,,NYY,KCA,OAK,,,LAA,NYM,,,,,,,TBA,ATL,PHI,COL,,,,BAL,CHC
6/28/17,STL,,,MIN,,MIL,TEX,,NYY,KCA,OAK,,LAD,,NYM,,,,,,,TBA,ATL,PHI,COL,,,,BAL,CHC
6/29/17,STL,,,MIN,,MIL,TEX,,NYY,KCA,OAK,,LAD,,NYM,,,,,,,TBA,ATL,,,,,,BAL,CHC
6/30/17,COL,,TBA,,,CHC,,,TEX,CLE,NYY,MIN,SEA,,,MIA,,PHI,,ATL,,SFN,LAD,,,WAS,,,BOS,
7/1/17,COL,,TBA,,,CHC,,,TEX,CLE,NYY,MIN,SEA,,,MIA,,PHI,,ATL,,SFN,LAD,,,WAS,,,BOS,
7/2/17,COL,,TBA,,,CHC,,,TEX,CLE,NYY,MIN,SEA,,,MIA,,PHI,,ATL,,SFN,LAD,,,WAS,,,BOS,
7/3/17,,,,,,,,CIN,,,,,,,,BAL,LAA,,TOR,CWS,PIT,,,KCA,,MIA,,BOS,,NYM
