Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Albert Pujols,- - -,2426,10552,591,1670,1817,107,0.115,0.100,0.263,0.294,0.309,0.392,0.573,0.403,153,-27.2,667.1,-101.4,91,1177
Alex Rodriguez,- - -,2142,9364,548,1528,1623,211,0.120,0.191,0.259,0.309,0.291,0.385,0.55,0.397,144,25.5,535.3,28.4,87.4,1274
Adrian Beltre,- - -,2491,10432,423,1326,1482,98,0.067,0.138,0.197,0.299,0.288,0.339,0.485,0.352,117,-5.5,204.7,210.2,77.7,639
Miguel Cabrera,- - -,2096,9001,446,1321,1553,38,0.112,0.168,0.241,0.347,0.321,0.399,0.562,0.405,153,-56.6,511.6,-151.1,67.8,1744
Carlos Beltran,- - -,2287,9736,399,1398,1421,282,0.103,0.160,0.214,0.299,0.281,0.355,0.495,0.363,122,66.6,332.9,-13.1,63.9,589
Chase Utley,- - -,1723,7323,250,1042,977,145,0.092,0.150,0.194,0.299,0.278,0.361,0.472,0.36,121,71.5,260.3,131.1,63.2,1679
Barry Bonds,Giants,986,4072,317,772,697,54,0.277,0.105,0.402,0.283,0.322,0.517,0.724,0.49,203,-5.5,537.4,-37.7,61.9,1109
Ichiro Suzuki,- - -,2500,10466,114,1396,760,508,0.060,0.099,0.092,0.34,0.313,0.356,0.405,0.33,105,95.9,167.7,66.1,58.4,1101
Chipper Jones,Braves,1720,7228,315,1077,1099,67,0.146,0.131,0.225,0.314,0.304,0.404,0.529,0.397,142,-12,376.4,-32.3,57.1,97
Lance Berkman,- - -,1845,7708,362,1136,1219,81,0.154,0.166,0.245,0.316,0.294,0.407,0.539,0.402,145,-12.6,422.9,-109.9,55.8,548
Scott Rolen,- - -,1573,6507,234,914,990,76,0.100,0.152,0.207,0.301,0.281,0.361,0.488,0.364,121,9.7,186.2,150.1,54.3,970
David Wright,Mets,1583,6869,242,949,970,196,0.111,0.188,0.195,0.339,0.296,0.376,0.491,0.373,133,18.5,298.3,7.4,53.2,3787
Derek Jeter,Yankees,2109,9716,197,1437,970,272,0.083,0.141,0.125,0.345,0.307,0.374,0.432,0.355,117,21.7,235.2,-33.4,52.4,826
David Ortiz,- - -,2297,9689,531,1361,1716,16,0.131,0.170,0.27,0.298,0.287,0.38,0.557,0.394,141,-78.2,407,-235,50.6,745
Matt Holliday,- - -,1773,7489,295,1104,1153,107,0.099,0.164,0.212,0.333,0.303,0.382,0.515,0.386,137,0.6,334.8,-83.4,50,1873
Andruw Jones,- - -,1691,6774,354,947,1032,78,0.105,0.204,0.235,0.269,0.253,0.338,0.488,0.353,112,-8.2,96.8,181.3,49.5,96
Jimmy Rollins,- - -,2275,10240,231,1421,936,470,0.079,0.123,0.154,0.283,0.264,0.324,0.418,0.323,95,83.1,26.5,134.8,49.4,971
Todd Helton,Rockies,1901,8100,304,1196,1185,27,0.149,0.128,0.22,0.334,0.317,0.419,0.536,0.406,134,-33,326.5,-88.6,49,432
Robinson Cano,- - -,1848,7845,278,1065,1086,50,0.064,0.123,0.191,0.321,0.307,0.355,0.498,0.365,127,-28.7,224.9,-15.8,49,3269
Mike Trout,Angels,811,3558,168,600,497,143,0.134,0.220,0.251,0.36,0.306,0.405,0.557,0.409,167,42.8,317.8,13.1,47.5,10155
Evan Longoria,Rays,1279,5474,241,709,806,45,0.096,0.203,0.219,0.301,0.271,0.344,0.49,0.356,126,3.9,174.4,96.1,47.1,9368
Joey Votto,Reds,1268,5434,221,757,730,67,0.159,0.185,0.223,0.359,0.313,0.425,0.536,0.41,157,-13,355,-75.7,46.8,4314
Dustin Pedroia,Red Sox,1398,6280,133,874,662,134,0.091,0.096,0.144,0.315,0.301,0.366,0.445,0.355,117,-3.2,123.5,114.1,46.4,8370
Joe Mauer,Twins,1590,6820,130,885,804,50,0.121,0.127,0.137,0.341,0.308,0.391,0.446,0.362,125,1.7,209.2,13,45.8,1857
Bobby Abreu,- - -,2048,8596,248,1244,1169,347,0.147,0.180,0.183,0.332,0.288,0.392,0.471,0.375,128,32.5,345.1,-164.5,45.8,945
Jim Edmonds,- - -,1302,5029,272,787,791,41,0.144,0.233,0.265,0.322,0.28,0.386,0.546,0.394,139,-2.5,252.4,42,45.1,1153
Mark Teixeira,- - -,1862,8029,409,1099,1298,26,0.114,0.179,0.241,0.282,0.268,0.36,0.509,0.371,127,-7.8,255.9,-79.6,45,1281
Ian Kinsler,- - -,1534,6871,212,1059,787,211,0.084,0.123,0.174,0.289,0.277,0.344,0.451,0.346,111,48.6,142.5,52.7,44.1,6195
Curtis Granderson,- - -,1649,7013,293,1039,801,145,0.108,0.227,0.219,0.296,0.255,0.34,0.474,0.352,118,52.2,202.6,-3.2,43.9,4747
Jose Reyes,- - -,1622,7428,126,1075,645,488,0.070,0.107,0.142,0.311,0.289,0.338,0.431,0.333,105,70.7,116.6,60.6,42.4,1736
J.D. Drew,- - -,1448,5682,224,863,743,68,0.142,0.185,0.211,0.314,0.28,0.387,0.491,0.379,129,16,228.2,11.2,42.3,1152
Carl Crawford,- - -,1716,7178,136,998,766,480,0.053,0.149,0.145,0.326,0.29,0.33,0.435,0.332,104,87.3,124.6,52.6,42,1201
Torii Hunter,- - -,2230,9251,344,1244,1354,185,0.068,0.180,0.188,0.308,0.278,0.332,0.465,0.344,112,-7.6,120.8,-18.9,41.8,731
Vladimir Guerrero,- - -,1729,7327,357,1072,1215,153,0.085,0.107,0.231,0.317,0.318,0.381,0.549,0.389,137,-46.6,295,-115,41.7,778
Hanley Ramirez,- - -,1475,6322,240,962,818,276,0.093,0.169,0.2,0.326,0.295,0.366,0.495,0.371,129,26.5,253.6,-49.9,41.2,8001
Andrew McCutchen,Pirates,1190,5179,175,720,637,160,0.118,0.178,0.195,0.331,0.292,0.381,0.487,0.375,139,19.9,253.4,-30,40.6,9847
Manny Ramirez,- - -,1453,6211,357,971,1149,11,0.141,0.185,0.276,0.342,0.315,0.417,0.591,0.421,157,-30,416.4,-212.6,40.6,210
Ben Zobrist,- - -,1337,5644,145,735,643,111,0.124,0.149,0.167,0.292,0.266,0.358,0.433,0.346,119,18,142.8,57.8,40.6,7435
Brian Giles,- - -,1407,6176,209,862,806,77,0.151,0.100,0.205,0.293,0.289,0.4,0.494,0.384,136,15.8,303.6,-92.2,40.5,990
Mike Cameron,- - -,1513,6303,234,850,802,209,0.110,0.243,0.201,0.303,0.251,0.339,0.451,0.344,110,45.8,128.5,69.9,40.3,1070
Jim Thome,- - -,1627,6531,416,974,1120,3,0.169,0.255,0.288,0.311,0.27,0.396,0.558,0.402,145,-33.3,332.5,-145.5,40.2,409
Alfonso Soriano,- - -,1966,8387,411,1150,1158,289,0.059,0.215,0.229,0.301,0.27,0.319,0.5,0.348,111,33.7,148.3,-22.9,40.1,847
Jorge Posada,Yankees,1537,6065,240,764,920,18,0.133,0.203,0.206,0.319,0.277,0.379,0.483,0.373,127,-53.7,156.5,46.1,40,841
Aramis Ramirez,- - -,2104,8647,380,1073,1386,29,0.070,0.134,0.213,0.291,0.285,0.343,0.498,0.36,118,-67.7,119.9,-4.4,39.5,1002
Adrian Gonzalez,- - -,1804,7607,308,968,1146,6,0.099,0.174,0.202,0.318,0.29,0.362,0.492,0.363,130,-48.5,222.4,-88,38.9,1908
Ryan Braun,Brewers,1354,5819,285,879,937,181,0.081,0.184,0.24,0.334,0.304,0.367,0.544,0.389,141,20.7,311.2,-117.7,38.8,3410
Troy Tulowitzki,- - -,1220,5142,217,745,753,57,0.096,0.166,0.209,0.316,0.292,0.364,0.501,0.372,121,-15.3,107.6,98.6,38.4,3531
Placido Polanco,- - -,1794,7525,102,975,693,78,0.054,0.067,0.101,0.308,0.298,0.344,0.399,0.328,98,-3.7,-22.2,158.3,38.3,1176
Jason Giambi,- - -,1613,6160,334,843,1023,15,0.170,0.187,0.258,0.281,0.267,0.407,0.526,0.4,145,-21.6,333.6,-150.8,38.2,818
Miguel Tejada,- - -,1881,8020,273,1074,1163,70,0.058,0.109,0.171,0.299,0.292,0.34,0.463,0.345,110,-23.6,79.2,36.2,37.9,941
Johnny Damon,- - -,1846,8251,186,1300,875,298,0.096,0.117,0.151,0.305,0.285,0.355,0.436,0.346,109,67.8,160.4,-66.7,37.1,185
Jayson Werth,- - -,1513,6077,219,848,770,128,0.120,0.227,0.189,0.323,0.269,0.362,0.458,0.358,121,41.8,196.2,-42.6,35.5,1327
Brian McCann,- - -,1510,5919,245,645,888,24,0.093,0.153,0.193,0.278,0.266,0.34,0.459,0.344,113,-53.8,39.2,111.5,34.9,4810
Jeff Kent,- - -,1266,5377,216,754,850,45,0.094,0.140,0.217,0.316,0.3,0.371,0.518,0.379,130,-16.1,193.9,-12.7,34.9,1119
Russell Martin,- - -,1429,5682,162,688,691,99,0.115,0.174,0.15,0.287,0.254,0.35,0.404,0.334,106,-16.2,26.7,127.5,34.7,4616
Derrek Lee,- - -,1709,7151,308,989,980,97,0.112,0.197,0.22,0.325,0.288,0.371,0.508,0.377,128,-15.9,235.4,-119.3,34.6,525
Jose Bautista,- - -,1519,6159,308,878,862,60,0.143,0.181,0.238,0.266,0.255,0.368,0.493,0.372,132,-10.4,213.8,-96.3,34.2,1887
Eric Chavez,- - -,1484,5778,247,763,846,48,0.102,0.176,0.21,0.289,0.269,0.343,0.479,0.35,114,2.2,103.2,45.3,34,906
Yadier Molina,Cardinals,1611,6157,108,541,703,47,0.069,0.095,0.115,0.3,0.285,0.338,0.4,0.323,100,-65.2,-67.7,193.6,33.4,7007
Ryan Zimmerman,Nationals,1408,6040,215,793,829,41,0.089,0.180,0.189,0.309,0.278,0.343,0.467,0.349,115,0.4,110.4,26.1,33.4,4220
Rafael Furcal,- - -,1614,7237,113,1063,587,314,0.089,0.126,0.122,0.31,0.281,0.346,0.402,0.33,99,52.5,46.7,51.7,33.1,88
Buster Posey,Giants,899,3692,116,443,527,14,0.093,0.120,0.169,0.322,0.307,0.373,0.476,0.365,136,-18.2,135.4,61.8,32.9,9166
Troy Glaus,- - -,1335,5542,290,785,848,50,0.139,0.213,0.244,0.281,0.257,0.364,0.501,0.371,125,-3.2,172.1,-23.1,32.8,15
Carlos Delgado,- - -,1368,5938,324,863,1045,9,0.134,0.189,0.267,0.306,0.286,0.394,0.553,0.397,141,-21.5,286.7,-149.8,32.8,1297
Gary Sheffield,- - -,1268,5399,273,857,869,97,0.133,0.115,0.233,0.288,0.294,0.394,0.527,0.394,141,9,293.8,-137.4,32.8,114
Ivan Rodriguez,- - -,1374,5507,167,705,711,67,0.050,0.164,0.17,0.326,0.293,0.33,0.463,0.34,104,-24.4,8.5,137.2,32.5,1275
Hunter Pence,- - -,1376,5847,207,760,786,107,0.075,0.186,0.186,0.321,0.284,0.339,0.47,0.351,120,7.1,147.7,-22.8,32,8252
Josh Donaldson,- - -,718,3102,141,461,450,30,0.113,0.182,0.225,0.302,0.278,0.365,0.503,0.374,140,4.3,147.9,49.4,31.8,5038
Shane Victorino,- - -,1299,5164,108,731,489,231,0.074,0.121,0.15,0.298,0.275,0.34,0.425,0.336,104,53.3,79.2,56.8,31,1677
Alex Gordon,Royals,1264,5324,151,667,563,89,0.098,0.216,0.166,0.318,0.264,0.345,0.43,0.339,110,20.2,79.2,36,30.8,5209
Brandon Phillips,- - -,1749,7361,197,920,889,198,0.054,0.137,0.146,0.296,0.275,0.32,0.421,0.322,95,5.7,-38.5,102.8,30.7,791
Victor Martinez,- - -,1733,7223,227,844,1077,7,0.092,0.108,0.167,0.31,0.301,0.366,0.467,0.358,121,-79.7,105.6,-44.8,30.7,393
Jacoby Ellsbury,- - -,1123,4966,97,684,473,321,0.072,0.136,0.133,0.316,0.286,0.342,0.419,0.333,104,49.7,73.3,51,30.3,4727
Coco Crisp,- - -,1586,6627,130,877,639,309,0.085,0.131,0.137,0.289,0.265,0.327,0.402,0.319,97,64.2,35.5,35.7,29.9,1572
Magglio Ordonez,- - -,1525,6417,246,894,1043,71,0.089,0.113,0.197,0.321,0.312,0.375,0.509,0.38,130,-26.5,219.6,-136.9,29.6,248
Jason Heyward,- - -,977,4021,104,507,401,97,0.106,0.181,0.153,0.302,0.262,0.346,0.415,0.335,111,25.2,75.1,77.2,29.3,4940
Kevin Youkilis,- - -,1061,4436,150,653,618,26,0.122,0.187,0.197,0.321,0.281,0.382,0.478,0.375,127,2.4,150.3,-10,29.2,1935
Brian Roberts,- - -,1418,6253,97,850,542,285,0.097,0.135,0.133,0.308,0.276,0.347,0.409,0.332,101,41.8,51.9,29,29.1,166
J.J. Hardy,- - -,1488,6041,184,694,664,8,0.066,0.151,0.154,0.278,0.258,0.308,0.412,0.313,91,-21.7,-84.8,168.3,29.1,3797
Grady Sizemore,- - -,1101,4724,150,660,518,143,0.102,0.202,0.192,0.309,0.265,0.349,0.457,0.35,115,34.7,126.1,9,28.9,2197
Jhonny Peralta,- - -,1777,7261,202,838,873,17,0.083,0.198,0.157,0.312,0.267,0.33,0.425,0.329,103,-49.1,-23.8,58.6,28.8,1738
Shin-Soo Choo,- - -,1173,5069,146,676,566,118,0.120,0.215,0.172,0.342,0.28,0.381,0.452,0.366,129,18.2,192.6,-81.8,28.7,3174
Edgar Renteria,- - -,1605,6671,117,871,746,168,0.081,0.127,0.122,0.314,0.286,0.344,0.409,0.329,97,10.9,-8.9,78.1,28.5,1178
Josh Hamilton,- - -,1027,4350,200,609,701,50,0.081,0.216,0.226,0.331,0.29,0.349,0.516,0.368,127,20.1,159.7,-35.1,27.8,1875
Justin Upton,- - -,1337,5560,221,775,703,124,0.101,0.245,0.204,0.326,0.268,0.347,0.472,0.354,119,32,154.2,-64.2,27.8,5222
Edwin Encarnacion,- - -,1513,6211,310,829,942,56,0.107,0.162,0.232,0.272,0.266,0.352,0.498,0.365,126,0.4,187.9,-127.6,27.7,2151
Randy Winn,- - -,1529,6175,107,768,621,180,0.078,0.142,0.136,0.32,0.286,0.345,0.422,0.335,103,30.5,51.7,19.4,27.5,1235
Mark Ellis,- - -,1435,5728,105,690,550,82,0.076,0.140,0.122,0.291,0.262,0.327,0.384,0.314,93,28.8,-20.6,102.3,27.4,1443
Melvin Mora,- - -,1490,6119,171,788,753,91,0.084,0.155,0.155,0.307,0.278,0.351,0.433,0.343,107,-7.1,48.5,20.6,27.3,157
Chase Headley,- - -,1262,5115,118,558,531,84,0.099,0.224,0.138,0.326,0.263,0.342,0.401,0.328,109,4.2,56.5,40.1,27.2,4720
Mike Napoli,- - -,1268,4845,238,637,678,38,0.124,0.269,0.228,0.305,0.252,0.352,0.48,0.36,123,-12.4,119.8,-19,27.2,3057
Giancarlo Stanton,Marlins,827,3428,208,453,540,34,0.117,0.285,0.273,0.322,0.266,0.357,0.539,0.38,142,-0.2,165.1,-14.7,27.2,4949
Adam Jones,- - -,1394,5740,225,761,742,86,0.045,0.190,0.183,0.308,0.277,0.318,0.46,0.336,108,18.6,68,-3.2,27,6368
Prince Fielder,- - -,1611,6853,319,862,1028,18,0.124,0.169,0.223,0.301,0.283,0.382,0.506,0.377,133,-59.1,217.7,-176.8,27,4613
Luis Gonzalez,- - -,1316,5466,221,768,778,30,0.125,0.113,0.22,0.29,0.288,0.382,0.508,0.379,124,-9.4,163.6,-67.6,27,55
Brett Gardner,Yankees,1067,4154,63,599,342,218,0.102,0.186,0.124,0.318,0.264,0.346,0.388,0.327,103,52.2,64.9,52.3,26.7,9927
Howie Kendrick,- - -,1344,5457,95,663,595,111,0.053,0.172,0.128,0.337,0.289,0.332,0.417,0.327,106,2.7,37.7,38.1,26.7,4229
Carlos Lee,- - -,1972,8269,342,1059,1279,121,0.078,0.110,0.2,0.282,0.284,0.34,0.484,0.352,113,-30.5,108.4,-111.3,26.7,243
Luis Castillo,- - -,1432,6260,26,851,389,284,0.107,0.101,0.062,0.328,0.295,0.372,0.357,0.33,100,30.1,31.5,33.7,26.6,513
Paul Goldschmidt,Diamondbacks,779,3353,140,497,507,99,0.140,0.220,0.227,0.356,0.299,0.398,0.525,0.392,145,16.9,191.6,-47.1,26.3,9218
Carlos Gomez,- - -,1204,4294,116,572,453,239,0.060,0.233,0.158,0.315,0.257,0.312,0.415,0.318,96,37,12.6,98.4,26.2,4881
Nelson Cruz,- - -,1270,5182,284,677,795,74,0.082,0.227,0.241,0.308,0.275,0.338,0.516,0.365,127,-16.3,142.6,-66.4,26,2434
Alex Rios,- - -,1691,6929,169,885,794,253,0.058,0.161,0.157,0.31,0.277,0.321,0.434,0.327,98,26.6,14.9,9.5,25.9,2090
Mike Lowell,- - -,1496,6141,211,738,905,30,0.085,0.122,0.187,0.288,0.28,0.343,0.467,0.348,109,-39.8,33.1,22,25.5,527
Adam Dunn,- - -,2001,8328,462,1097,1168,63,0.158,0.286,0.253,0.286,0.237,0.364,0.49,0.367,123,-0.4,239.5,-255.3,25.4,319
Nick Swisher,- - -,1527,6308,245,805,803,13,0.130,0.218,0.198,0.287,0.249,0.351,0.447,0.348,114,-4.9,104.8,-65.8,25.3,4599
Denard Span,- - -,1093,4913,48,637,389,164,0.086,0.116,0.108,0.316,0.284,0.35,0.393,0.329,105,31.3,58.4,25,25.2,8347
Carlos Guillen,- - -,1290,5214,123,722,652,72,0.097,0.151,0.159,0.318,0.285,0.355,0.444,0.347,111,-3.7,70.3,6,25,1079
Vernon Wells,- - -,1707,7120,269,922,950,108,0.066,0.132,0.191,0.278,0.27,0.319,0.461,0.335,103,11.4,40.4,-30,24.9,1326
Melvin Upton Jr.,- - -,1469,5858,164,723,586,300,0.101,0.266,0.158,0.314,0.243,0.321,0.402,0.318,98,42,29.8,21.1,24.8,5015
Sammy Sosa,- - -,945,4088,273,634,726,10,0.123,0.229,0.287,0.307,0.282,0.372,0.57,0.391,137,-10.7,187.1,-67.5,24.8,302
David DeJesus,- - -,1472,5916,99,740,573,66,0.086,0.142,0.137,0.309,0.275,0.349,0.412,0.336,105,4.6,39.6,7.9,24.6,1825
Juan Uribe,- - -,1826,6715,199,724,816,48,0.058,0.182,0.163,0.286,0.255,0.301,0.418,0.311,85,-5.6,-128.7,148.1,24.6,454
Martin Prado,- - -,1263,5245,95,609,564,39,0.068,0.110,0.131,0.314,0.293,0.342,0.424,0.334,108,-14.6,36.2,35.3,24.5,3312
Nick Markakis,- - -,1679,7336,157,889,800,63,0.095,0.131,0.137,0.316,0.289,0.358,0.426,0.343,110,-9.5,82.4,-85.6,24.4,5930
Corey Koskie,- - -,861,3527,112,472,446,67,0.118,0.202,0.186,0.32,0.273,0.367,0.459,0.357,114,-3.5,59.1,68,24.3,738
Jason Kendall,- - -,1584,6698,44,749,537,118,0.082,0.078,0.076,0.3,0.281,0.356,0.357,0.321,91,-6.4,-75.2,102.1,24.3,993
Ray Durham,- - -,1228,5139,132,761,579,122,0.102,0.140,0.173,0.302,0.277,0.354,0.45,0.349,109,10.8,69,4.8,24.2,230
Moises Alou,- - -,1023,4227,187,574,675,33,0.095,0.099,0.214,0.306,0.31,0.376,0.524,0.383,130,-13.9,149.9,-41,24.1,261
Juan Pierre,- - -,1994,8280,18,1075,517,614,0.056,0.058,0.066,0.312,0.295,0.343,0.361,0.315,86,89.5,-58.5,28.8,23.9,443
Andre Ethier,Dodgers,1433,5387,160,638,684,29,0.096,0.172,0.178,0.322,0.285,0.359,0.463,0.355,122,-2,144.1,-81.9,23.9,6265
Michael Young,- - -,1970,8612,185,1137,1030,90,0.067,0.143,0.141,0.333,0.3,0.346,0.441,0.342,104,-15.8,28.8,-79.4,23.8,1286
Aaron Rowand,- - -,1358,4817,136,613,536,67,0.054,0.190,0.163,0.316,0.273,0.33,0.435,0.333,100,7.8,10,70.4,23.6,254
Dan Uggla,- - -,1346,5509,235,759,706,26,0.114,0.243,0.206,0.283,0.241,0.336,0.447,0.341,109,13.7,75.5,-17.9,23.4,3442
Jeff Bagwell,Astros,833,3631,186,596,568,44,0.142,0.180,0.248,0.305,0.285,0.394,0.534,0.395,135,0.2,168.4,-47.9,23.3,547
Matt Kemp,- - -,1426,5816,240,819,856,183,0.075,0.235,0.204,0.34,0.286,0.34,0.49,0.354,124,17.5,179.3,-135.7,23.3,5631
Manny Machado,Orioles,608,2675,105,357,311,30,0.066,0.168,0.193,0.31,0.284,0.333,0.477,0.348,119,-2.5,56.6,74.6,23.2,11493
Carlos Gonzalez,- - -,1064,4347,201,657,654,114,0.078,0.220,0.23,0.336,0.291,0.347,0.521,0.37,118,18.4,111.8,-26.9,23,7287
Ramon Hernandez,- - -,1486,5543,166,567,736,8,0.074,0.130,0.155,0.276,0.263,0.326,0.418,0.324,95,-27.9,-59.8,106.3,23,918
Larry Walker,- - -,690,2773,121,469,456,40,0.137,0.153,0.247,0.34,0.315,0.421,0.562,0.418,140,7.1,149.8,-7.2,23,455
Kyle Seager,Mariners,846,3563,126,408,437,41,0.085,0.166,0.181,0.29,0.266,0.334,0.446,0.338,118,-5.1,70.3,29.2,23,9785
Orlando Cabrera,- - -,1786,7543,112,889,791,207,0.063,0.090,0.116,0.285,0.273,0.318,0.388,0.309,83,27.4,-128.7,109.6,23,766
Bryce Harper,Nationals,657,2770,121,412,334,58,0.140,0.204,0.222,0.317,0.279,0.382,0.501,0.377,139,11.2,136.1,-5.1,22.9,11579
A.J. Pierzynski,- - -,2043,7778,188,803,905,15,0.039,0.114,0.14,0.296,0.28,0.318,0.42,0.319,92,-65.6,-143.9,109.3,22.8,746
Justin Morneau,- - -,1545,6392,247,772,985,5,0.090,0.155,0.199,0.299,0.281,0.348,0.481,0.353,116,-23.7,104.4,-94.2,22.6,1737
Carlos Ruiz,- - -,1083,3924,68,391,404,24,0.099,0.117,0.127,0.289,0.266,0.352,0.393,0.327,101,-9.5,-7.3,100.3,22.5,2579
Yunel Escobar,- - -,1345,5576,83,646,488,33,0.086,0.114,0.103,0.309,0.283,0.351,0.385,0.328,103,-26.9,-4.7,41.5,22.5,4191
Michael Bourn,- - -,1361,5323,36,678,361,341,0.084,0.211,0.091,0.339,0.266,0.329,0.357,0.306,88,66.3,-10.5,57.4,22.4,6387
Casey Blake,- - -,1251,5050,166,638,615,36,0.088,0.204,0.178,0.305,0.264,0.337,0.442,0.337,106,3.6,44.5,11.6,22.4,719
Marlon Byrd,- - -,1574,6123,159,740,710,56,0.062,0.202,0.155,0.324,0.275,0.329,0.43,0.331,102,6.5,18.7,1.7,22.4,950
Jason Varitek,Red Sox,1315,5047,166,563,648,22,0.109,0.215,0.177,0.301,0.255,0.343,0.431,0.337,100,-21.6,-21.5,71.1,21.9,217
Travis Hafner,- - -,1183,4782,213,619,731,11,0.125,0.204,0.225,0.308,0.273,0.376,0.498,0.374,132,-10.7,179,-120,21.9,1573
Paul Konerko,White Sox,2126,8694,408,1070,1302,8,0.099,0.147,0.21,0.287,0.28,0.356,0.49,0.363,120,-87.2,126.9,-201.7,21.9,242
Chone Figgins,- - -,1282,5360,35,708,403,341,0.101,0.155,0.087,0.326,0.276,0.349,0.363,0.32,95,58.9,29.5,6.1,21.5,1580
Nomar Garciaparra,- - -,979,4042,133,580,596,42,0.069,0.086,0.189,0.308,0.308,0.359,0.497,0.365,119,2,101.7,-17.6,21.5,190
Aaron Hill,- - -,1525,6137,161,729,688,74,0.070,0.136,0.152,0.287,0.267,0.324,0.42,0.324,97,11.2,-12.4,22,21.3,6104
Orlando Hudson,- - -,1345,5413,93,648,542,85,0.089,0.152,0.138,0.31,0.273,0.341,0.412,0.33,98,12.1,-2.8,34.9,21.1,1307
Jason Bay,- - -,1278,5258,222,737,754,95,0.121,0.231,0.214,0.313,0.266,0.36,0.481,0.363,121,23.1,163.4,-123.2,21.1,1717
Elvis Andrus,Rangers,1221,5203,35,648,436,241,0.078,0.131,0.083,0.312,0.274,0.335,0.357,0.309,86,44.9,-37.6,65.7,21,8709
Darin Erstad,- - -,1183,4564,72,612,467,120,0.069,0.142,0.114,0.317,0.282,0.334,0.395,0.319,91,21.2,-26.1,84.7,21,11
Jonathan Lucroy,- - -,852,3305,90,365,418,29,0.080,0.149,0.158,0.311,0.284,0.343,0.441,0.341,112,-14.1,32.5,62.8,20.9,7870
Cliff Floyd,- - -,1082,4232,182,598,630,90,0.104,0.172,0.217,0.305,0.282,0.367,0.499,0.368,124,18.2,146.6,-73.3,20.9,518
Freddie Freeman,Braves,909,3790,138,507,515,19,0.110,0.215,0.196,0.341,0.288,0.373,0.484,0.369,135,-4.6,148.4,-68.7,20.8,5361
Ian Desmond,- - -,1083,4470,132,531,518,143,0.062,0.235,0.16,0.326,0.267,0.316,0.427,0.323,101,21.9,26.8,29.2,20.7,6885
Matt Carpenter,Cardinals,719,3016,74,451,335,13,0.122,0.177,0.178,0.329,0.284,0.376,0.462,0.364,133,4.4,119.2,-17.7,20.7,8090
Jose Valentin,- - -,916,3549,159,494,473,58,0.094,0.200,0.221,0.268,0.246,0.32,0.468,0.336,100,7.6,6.5,81.9,20.5,256
Geoff Jenkins,- - -,1130,4476,191,585,623,26,0.081,0.232,0.215,0.322,0.274,0.345,0.489,0.354,111,-10.2,53.3,3.8,20,690
Raul Ibanez,- - -,2022,7916,293,1017,1164,45,0.087,0.166,0.194,0.297,0.274,0.337,0.468,0.345,112,-9.6,105.2,-166.5,20,607
Carlos Santana,Indians,962,4115,151,483,508,35,0.155,0.174,0.196,0.269,0.247,0.365,0.444,0.354,124,-14.2,100.9,-47,20,2396
Rich Aurilia,- - -,1218,4724,145,576,578,12,0.072,0.140,0.163,0.297,0.277,0.33,0.441,0.334,100,-9.5,-5.3,54,20,1106
Mike Piazza,- - -,931,3670,187,437,567,4,0.103,0.150,0.227,0.292,0.285,0.36,0.512,0.369,125,-28.4,92,-9.8,19.7,893
Anthony Rizzo,- - -,751,3204,134,401,425,36,0.109,0.176,0.216,0.29,0.267,0.362,0.483,0.365,131,-7.2,108.3,-23.2,19.5,3473
Trot Nixon,- - -,953,3745,122,507,503,26,0.120,0.163,0.19,0.302,0.275,0.365,0.464,0.359,116,-0.3,73.6,-4.8,19.4,204
Lorenzo Cain,- - -,601,2407,42,314,272,101,0.062,0.194,0.129,0.345,0.287,0.337,0.416,0.328,105,18.1,32.5,71,19.4,9077
Shawn Green,- - -,1235,5197,209,727,694,86,0.104,0.155,0.207,0.3,0.281,0.361,0.489,0.363,120,-9.3,127.6,-102,19.3,651
Ryan Howard,Phillies,1572,6531,382,848,1194,12,0.109,0.282,0.257,0.309,0.258,0.343,0.515,0.361,121,-38,137.1,-148.9,19.3,2154
Asdrubal Cabrera,- - -,1247,5190,125,626,571,83,0.074,0.174,0.15,0.307,0.269,0.329,0.419,0.327,105,1.6,32.6,-18.1,19.2,4962
Kenny Lofton,- - -,1007,4237,67,676,369,189,0.096,0.101,0.129,0.306,0.287,0.357,0.416,0.34,103,28.1,42.2,9.8,19.2,246
Milton Bradley,- - -,1042,4181,125,541,481,88,0.119,0.195,0.169,0.317,0.271,0.364,0.44,0.352,114,-7.1,64.3,-10.5,19.1,369
Daniel Murphy,- - -,1045,4201,87,510,506,62,0.060,0.118,0.151,0.319,0.296,0.339,0.447,0.338,115,9.3,83.3,-31.4,19.1,4316
Pat Burrell,- - -,1640,6520,292,767,976,7,0.143,0.240,0.219,0.297,0.253,0.361,0.472,0.36,117,-26.6,116.4,-138.7,19,949
Neil Walker,- - -,949,3884,116,462,473,29,0.082,0.174,0.163,0.306,0.273,0.339,0.436,0.337,115,4.4,70.5,-10.8,19,7539
Jason Kipnis,Indians,763,3364,76,434,354,115,0.095,0.190,0.15,0.321,0.272,0.345,0.423,0.335,111,21.8,67.1,1.8,19,9776
Carlos Pena,- - -,1493,5893,286,745,818,29,0.139,0.268,0.231,0.275,0.232,0.346,0.462,0.35,117,2.7,128.1,-136.2,18.9,934
