Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Kirk Nieuwenhuis,- - -,398,1085,30,125,116,20,0.110,0.324,0.164,0.318,0.224,0.312,0.388,0.307,93,4.9,-4.6,3.3,3.4,6400
Jonathan Schoop,Orioles,390,1464,57,169,167,5,0.030,0.232,0.177,0.292,0.251,0.283,0.428,0.307,91,-3.3,-17.9,2.1,3.4,11265
Laynce Nix,- - -,758,2063,69,235,249,9,0.059,0.259,0.177,0.295,0.24,0.286,0.417,0.301,79,10.6,-43.1,9.5,3.4,1766
Ben Davis,- - -,409,1404,33,139,174,7,0.091,0.224,0.132,0.284,0.235,0.306,0.367,0.295,79,-3.7,-41.5,28.4,3.4,1074
Mike Redmond,- - -,643,2096,10,176,204,1,0.054,0.098,0.071,0.309,0.282,0.335,0.353,0.306,84,-19.1,-62.9,26.3,3.3,538
Yonder Alonso,- - -,664,2343,39,221,239,20,0.089,0.144,0.118,0.301,0.269,0.334,0.387,0.315,102,-13,-8.7,-33.7,3.3,2530
Chris Shelton,- - -,299,1044,37,132,124,2,0.092,0.241,0.184,0.335,0.273,0.345,0.457,0.348,111,-1.3,13.2,-15.4,3.3,1891
Michael Morse,- - -,808,2773,104,295,352,6,0.063,0.236,0.184,0.331,0.276,0.332,0.46,0.345,118,-25.9,31.5,-86.8,3.3,3035
Chris Duncan,Cardinals,389,1317,55,164,175,4,0.121,0.240,0.201,0.307,0.257,0.348,0.458,0.35,111,2.9,22.7,-32,3.3,2722
Alfredo Amezaga,- - -,585,1572,12,174,110,49,0.071,0.142,0.086,0.285,0.248,0.308,0.333,0.286,68,6.1,-57.9,39.7,3.3,1
Joey Gathright,- - -,452,1329,1,178,96,81,0.073,0.160,0.04,0.318,0.263,0.328,0.303,0.289,71,11.8,-37.5,24.7,3.2,3913
Julio Franco,- - -,636,1618,32,181,213,21,0.101,0.207,0.127,0.35,0.285,0.358,0.412,0.337,102,-7,-2.2,-18.4,3.2,87
Eugenio Suarez,- - -,341,1302,38,153,141,18,0.069,0.243,0.15,0.318,0.257,0.316,0.406,0.315,96,-1.8,-7.8,-2.6,3.2,12552
Tony Clark,- - -,973,2637,124,300,422,0,0.102,0.245,0.217,0.29,0.25,0.328,0.467,0.339,103,-13.1,-3.6,-52.1,3.2,182
Derek Dietrich,Marlins,324,1117,31,140,106,3,0.071,0.218,0.171,0.301,0.251,0.338,0.422,0.333,111,1.9,16.7,-20.8,3.2,10542
Delino DeShields,- - -,344,1234,18,159,133,70,0.121,0.160,0.134,0.302,0.261,0.35,0.395,0.33,96,10.1,5.1,-14.2,3.1,275
Shea Hillenbrand,- - -,943,3816,108,463,490,16,0.037,0.122,0.156,0.299,0.284,0.321,0.44,0.327,94,-9.8,-38.9,-60.6,3.1,196
Toby Hall,- - -,686,2514,46,211,269,2,0.041,0.086,0.112,0.269,0.262,0.297,0.374,0.291,74,-25.5,-108.7,53.1,3,1210
Travis Snider,- - -,630,1971,54,214,212,22,0.085,0.250,0.155,0.306,0.244,0.311,0.399,0.311,93,-0.8,-15.8,-19.2,3,2830
So Taguchi,- - -,672,1524,19,197,163,39,0.067,0.128,0.106,0.312,0.279,0.332,0.385,0.316,89,7.9,-13.3,-7,3,1186
Robert Fick,- - -,824,2585,63,275,307,4,0.087,0.144,0.142,0.281,0.258,0.327,0.4,0.317,92,-1.6,-27.9,-29.8,3,466
Darrin Fletcher,Blue Jays,301,1033,34,87,136,1,0.046,0.098,0.155,0.264,0.266,0.305,0.421,0.311,80,-0.4,-25.4,21.1,3,1302
Willy Aybar,- - -,405,1390,33,137,157,7,0.102,0.148,0.14,0.285,0.258,0.341,0.399,0.328,100,-5.2,-4.8,-12.4,3,2192
Greg Vaughn,- - -,354,1450,63,193,190,22,0.138,0.243,0.211,0.26,0.225,0.335,0.436,0.335,98,2,0.3,-19.8,2.9,1233
Wilson Betemit,- - -,805,2335,75,264,283,9,0.090,0.262,0.175,0.339,0.267,0.332,0.442,0.335,104,-7.6,2.2,-51.5,2.9,1861
Jonathan Villar,- - -,354,1337,29,167,109,104,0.099,0.265,0.144,0.347,0.261,0.336,0.405,0.324,102,6.6,10.4,-24.7,2.9,10071
Todd Zeile,- - -,685,2552,70,264,305,6,0.114,0.163,0.149,0.286,0.258,0.344,0.407,0.331,94,-8,-26,-28.3,2.9,457
Adam Rosales,- - -,535,1474,40,157,141,16,0.083,0.235,0.14,0.274,0.227,0.298,0.367,0.294,81,4.6,-28.5,8.2,2.9,9682
Jeremy Giambi,- - -,402,1299,47,179,167,1,0.154,0.216,0.19,0.307,0.259,0.38,0.448,0.364,122,-0.5,35.1,-50.8,2.8,913
Jorge Cantu,- - -,847,3395,104,367,476,11,0.056,0.165,0.168,0.297,0.271,0.316,0.439,0.326,96,-11.5,-26.3,-56.6,2.8,2521
Hee Seop Choi,- - -,363,1086,40,130,120,3,0.130,0.241,0.197,0.29,0.24,0.349,0.437,0.343,108,0.7,11.4,-18.6,2.8,270
Javier Valentin,- - -,494,1232,37,120,164,0,0.080,0.150,0.161,0.279,0.26,0.318,0.421,0.319,87,-5.3,-25.7,13,2.8,759
Martin Maldonado,Brewers,355,1094,28,89,111,2,0.090,0.240,0.125,0.267,0.217,0.299,0.342,0.282,71,-3.1,-39.5,32.5,2.8,6887
Bubba Trammell,- - -,399,1350,52,152,198,7,0.101,0.154,0.186,0.265,0.253,0.332,0.439,0.335,104,-0.5,6.9,-22.9,2.8,1057
Conor Jackson,- - -,658,2485,52,291,295,27,0.101,0.117,0.136,0.29,0.271,0.351,0.407,0.335,98,-0.7,-7,-45.8,2.8,5997
Eduardo Escobar,- - -,490,1620,27,173,151,7,0.059,0.196,0.128,0.302,0.253,0.298,0.381,0.297,84,2.6,-28.5,0.3,2.8,6153
Eric Young,- - -,563,1684,8,239,88,145,0.081,0.173,0.081,0.3,0.246,0.314,0.327,0.289,73,31.6,-20,-5.7,2.7,7158
Brian Daubach,- - -,541,1866,72,210,257,5,0.107,0.238,0.206,0.299,0.252,0.338,0.457,0.342,104,-3.9,3.5,-40.7,2.7,186
Ramon Vazquez,- - -,696,2227,22,244,176,20,0.097,0.186,0.095,0.309,0.254,0.328,0.35,0.302,82,10,-40.3,-6.8,2.7,1058
Jose Molina,- - -,937,2774,39,237,222,20,0.055,0.206,0.095,0.284,0.232,0.281,0.327,0.271,64,-18.9,-140.3,74.7,2.7,25
Josh Phelps,- - -,465,1552,64,198,244,2,0.075,0.256,0.199,0.337,0.273,0.343,0.472,0.352,112,-9.1,13.8,-39.8,2.7,1318
Jesus Guzman,- - -,403,1114,25,108,136,18,0.087,0.223,0.143,0.304,0.247,0.316,0.39,0.311,100,3.3,4,-13,2.7,3118
Wilin Rosario,Rockies,447,1601,71,204,241,11,0.046,0.221,0.2,0.311,0.273,0.306,0.473,0.334,94,-6.3,-16.6,-7.2,2.7,8002
Maikel Franco,Phillies,248,1023,39,117,143,2,0.065,0.167,0.179,0.277,0.258,0.312,0.437,0.32,99,-1.7,-3.3,-3.3,2.7,12179
Marcus Thames,- - -,640,2016,115,256,301,3,0.079,0.253,0.239,0.275,0.246,0.309,0.485,0.339,104,-0.7,10.6,-52.1,2.6,1523
Cesar Izturis,- - -,1310,4679,17,441,312,110,0.048,0.092,0.068,0.277,0.254,0.293,0.322,0.272,61,-7.8,-232.1,105,2.6,656
Mike Zunino,Mariners,350,1247,50,117,133,1,0.060,0.324,0.175,0.249,0.195,0.262,0.37,0.279,77,-1.2,-33.2,16.6,2.6,13265
Jeffrey Hammonds,- - -,398,1514,42,200,188,25,0.094,0.175,0.166,0.314,0.276,0.35,0.442,0.345,97,-1.1,-6.1,-16.7,2.6,687
Ben Broussard,- - -,705,2357,87,275,314,15,0.073,0.198,0.188,0.297,0.263,0.324,0.45,0.333,102,2.8,9.7,-64.4,2.5,312
Mike Lamb,- - -,975,2989,69,382,349,7,0.076,0.137,0.139,0.3,0.276,0.332,0.415,0.323,90,2.9,-35.8,-38.5,2.5,1258
Travis Fryman,Indians,371,1467,36,169,199,2,0.097,0.175,0.145,0.314,0.274,0.346,0.419,0.336,98,-2.1,-4.4,-18.5,2.5,385
Jake Marisnick,- - -,356,1038,18,113,81,48,0.046,0.272,0.114,0.296,0.225,0.268,0.339,0.265,67,6.4,-33.5,22.8,2.5,11339
Johnny Estrada,- - -,612,2244,42,198,285,0,0.046,0.102,0.123,0.291,0.277,0.317,0.4,0.308,82,-21.7,-74.9,25.8,2.4,955
Matt Williams,Diamondbacks,306,1227,44,147,168,5,0.064,0.153,0.181,0.285,0.269,0.318,0.449,0.329,91,-2.7,-18,2.4,2.4,77
Chris Johnson,- - -,839,2995,63,256,339,18,0.048,0.251,0.129,0.353,0.275,0.313,0.404,0.312,95,-12.4,-28.9,-40.8,2.4,1191
Ian Stewart,- - -,511,1692,61,202,211,17,0.100,0.280,0.186,0.29,0.229,0.315,0.415,0.317,83,0.3,-33.4,4,2.4,5950
